Date	FinalDate	Value
2017-04-11	2017-11-09	246.666666666667
2017-04-11	2017-12-08	246.666666666667
2017-04-11	2018-01-09	246.666666666667
2017-04-12	2017-04-12	362.02
2017-04-12	2017-05-09	352.875
2017-04-12	2017-06-08	283
2017-04-12	2017-07-10	283
2017-04-12	2017-08-08	283
2017-04-12	2017-09-11	283
2017-04-12	2017-10-09	283
2017-04-12	2017-11-09	283
2017-04-12	2017-12-08	283
2017-04-12	2018-01-09	219.774193548387
2017-04-13	2017-04-13	362.02
2017-04-13	2017-05-09	355
2017-04-13	2017-08-08	320
2017-04-17	2017-04-17	355.78
2017-04-17	2017-05-09	351
2017-04-17	2017-06-08	367.282786885246
2017-04-17	2017-07-10	367.282786885246
2017-04-17	2017-08-08	236.75
2017-04-17	2017-09-11	236.75
2017-04-17	2017-10-09	236.75
2017-04-17	2017-11-09	236.75
2017-04-17	2017-12-08	236.75
2017-04-17	2018-01-09	236.75
2017-04-18	2017-04-18	355.78
2017-04-18	2017-08-08	280
2017-04-19	2017-04-19	355.78
2017-04-19	2017-06-08	362
2017-04-20	2017-04-20	355.78
2017-04-20	2017-06-08	362.115384615385
2017-04-20	2017-07-10	346
2017-04-20	2017-08-08	241.5
2017-04-20	2017-09-11	241.5
2017-04-20	2017-10-09	241.5
2017-04-20	2017-11-09	241.5
2017-04-20	2017-12-08	241.5
2017-04-20	2018-01-09	241.5
2017-04-24	2017-04-24	333.45
2017-04-24	2017-06-08	389.116883116883
2017-04-24	2017-07-10	363.333333333333
2017-04-24	2017-08-08	253
2017-04-24	2017-09-11	253
2017-04-24	2017-10-09	253
2017-04-24	2017-11-09	253
2017-04-24	2017-12-08	253
2017-04-24	2018-01-09	253
2017-04-25	2017-04-25	333.45
2017-04-25	2017-06-08	402.161458333333
2017-04-25	2017-07-10	370.375
2017-04-25	2017-08-08	280
2017-04-25	2017-09-11	280
2017-04-25	2017-10-09	280
2017-04-25	2017-11-09	248
2017-04-25	2017-12-08	248
2017-04-25	2018-01-09	248
2017-04-26	2017-04-26	333.45
2017-04-26	2017-06-08	401
2017-04-26	2017-07-10	370
2017-04-27	2017-04-27	333.45
2017-04-27	2017-06-08	400.476190476191
2017-04-27	2017-08-08	266
2017-04-27	2017-09-11	266
2017-04-27	2017-10-09	266
2017-04-27	2017-11-09	266
2017-04-27	2017-12-08	266
2017-04-27	2018-01-09	266
2017-04-28	2017-04-28	333.45
2017-04-28	2017-06-08	399.669811320755
2017-04-28	2017-08-08	283
2017-04-28	2017-09-11	283
2017-04-28	2017-10-09	283
2017-04-28	2017-11-09	247
2017-04-28	2017-12-08	247
2017-04-28	2018-01-09	247
2017-05-02	2017-05-02	457.01
2017-05-02	2017-08-08	285
2017-05-02	2017-09-11	285
2017-05-02	2017-10-09	285
2017-05-02	2017-11-09	244.989090909091
2017-05-02	2017-12-08	244.989090909091
2017-05-02	2018-01-09	244.989090909091
2017-05-03	2017-05-03	457.01
2017-05-03	2017-06-08	390
2017-05-04	2017-05-04	457.01
2017-05-04	2017-06-08	362.065573770492
2017-05-04	2017-07-10	362.065573770492
2017-05-04	2017-08-08	280
2017-05-04	2017-09-11	280
2017-05-04	2017-10-09	280
2017-05-04	2017-11-09	252.217391304348
2017-05-04	2017-12-08	252.217391304348
2017-05-04	2018-01-09	252.217391304348
2017-05-04	2018-02-08	210
2017-05-04	2018-03-08	210
2017-05-04	2018-04-09	210
2017-05-04	2018-05-09	210
2017-05-04	2018-06-08	210
2017-05-04	2018-07-09	210
2017-05-04	2018-08-08	210
2017-05-04	2018-09-11	210
2017-05-04	2018-10-08	210
2017-05-04	2018-11-09	210
2017-05-04	2018-12-10	210
2017-05-04	2019-01-09	210
2017-05-05	2017-05-05	457.01
2017-05-05	2017-08-08	270
2017-05-05	2017-09-11	270
2017-05-05	2017-10-09	270
2017-05-08	2017-05-08	474.08
2017-05-08	2017-06-08	386.363636363636
2017-05-08	2017-07-10	359
2017-05-08	2017-08-08	280
2017-05-08	2017-09-11	280
2017-05-08	2017-10-09	280
2017-05-08	2017-11-09	244
2017-05-08	2017-12-08	244
2017-05-08	2018-01-09	244
2017-05-09	2017-05-09	474.08
2017-05-09	2017-06-08	281.985981308411
2017-05-09	2017-07-10	281.985981308411
2017-05-09	2017-08-08	290
2017-05-09	2017-09-11	281.985981308411
2017-05-09	2017-10-09	281.985981308411
2017-05-09	2017-11-09	281.985981308411
2017-05-09	2017-12-08	281.985981308411
2017-05-09	2018-01-09	281.985981308411
2017-05-10	2017-05-10	474.08
2017-05-10	2017-06-08	394.5
2017-05-10	2017-07-10	345
2017-05-10	2017-08-08	254.5
2017-05-10	2017-09-11	254.5
2017-05-10	2017-10-09	254.5
2017-05-10	2017-11-09	254.5
2017-05-10	2017-12-08	254.5
2017-05-10	2018-01-09	254.5
2017-05-11	2017-05-11	474.08
2017-05-11	2017-06-08	390.6
2017-05-11	2017-07-10	352.692307692308
2017-05-12	2017-05-12	474.08
